Cümle ID,Token ID,Token,Önceki Token,Sonraki Token,Gerçek Etiket,Tahmin Edilen Etiket
0,0,Nereden,BOS,diye,PRON,NOUN
0,1,diye,Nereden,sorarsanız,ADP,NOUN
0,5,yine,cevabım,Antik,ADV,NOUN
0,6,Antik,yine,Roma,ADJ,PROPN
0,9,dan,’,olacaktır,ADP,NOUN
1,8,başlar,kullanmaya,çünkü,VERB,NOUN
1,9,çünkü,başlar,yeterli,CCONJ,NOUN
1,10,yeterli,çünkü,koşulları,ADJ,NOUN
2,0,Peki,BOS,en,ADV,NOUN
2,2,başa,en,dönelim,NOUN,ADJ
2,3,dönelim,başa,",",VERB,NOUN
2,6,yumurtası,anne,ve,NOUN,VERB
2,11,yere,birleştiği,.,NOUN,VERB
3,0,Örneğin,BOS,bir,CCONJ,ADJ
3,5,dır,yıllar,yapması,ADP,NOUN
3,8,üzün,çok,süren,NOUN,ADJ
3,12,kısa,işi,sürede,ADJ,NOUN
3,17,ya,",",da,CCONJ,NOUN
3,21,kolaylaştırmasa,hayatını,bile,VERB,NOUN
3,22,bile,kolaylaştırmasa,onları,ADV,VERB
3,23,onları,bile,günlük,PRON,NOUN
3,24,günlük,onları,stresten,ADJ,NOUN
3,26,uzaklaştırıp,stresten,eğlendirecek,VERB,NOUN
4,0,Kendi,BOS,kendimizle,PRON,NOUN
4,1,kendimizle,Kendi,karşı,PRON,NOUN
4,2,karşı,kendimizle,karşıyayız,ADV,NOUN
6,0,Fakat,BOS,bu,CCONJ,NOUN
6,2,ön,bu,kabul,ADJ,NOUN
6,6,görülenleri,gezisinde,açıklamada,VERB,NOUN
6,7,açıklamada,görülenleri,yetersiz,VERB,NOUN
6,8,yetersiz,açıklamada,kalır,ADJ,NOUN
7,0,Bize,BOS,zor,PRON,NOUN
7,1,zor,Bize,gelen,ADJ,NOUN
7,3,belki,gelen,de,ADV,NOUN
7,6,dışına,bilinenin,çıkma,ADJ,NOUN
7,9,farklı,",",olma,ADJ,NOUN
7,13,biraz,;,da,ADV,PRON
7,18,ya,iyi,da,CCONJ,VERB
7,21,sınırsız,kötü,oluşundan,ADJ,NOUN
8,0,Yalnızca,BOS,biz,ADV,NOUN
8,1,biz,Yalnızca,varız,PRON,NOUN
9,6,biri,çekmiş,yim,PRON,DET
9,7,yim,biri,",",AUX,NOUN
9,9,öyle,",",ki,ADV,NOUN
9,10,ki,öyle,zamanımın,CCONJ,ADP
9,16,yalnız,kısmı,başıma,ADV,NOUN
10,0,Artık,BOS,dört,ADV,NOUN
10,1,dört,Artık,yıl,NUM,NOUN
10,4,nerede,sonra,olacağımı,PRON,NOUN
10,5,olacağımı,nerede,tahmin,ADJ,VERB
10,9,yok,gerek,.,ADJ,VERB
11,0,Bir,BOS,de,ADV,DET
11,1,de,Bir,feministlik,CCONJ,NOUN
12,0,Günümüzde,BOS,",",NOUN,PROPN
12,3,ya,evimizde,da,CCONJ,VERB
12,15,sıkılmadan,köşklerini,dolaşıp,VERB,NOUN
12,16,dolaşıp,sıkılmadan,yeni,VERB,NOUN
12,19,üreten,fikirler,insanların,VERB,NOUN
12,22,ortaya,sayesinde,çıkmıştır,ADJ,NOUN
13,12,kendimi,ve,kesmeme,PRON,NOUN
13,13,kesmeme,kendimi,sebep,VERB,NOUN
13,24,bunu,ve,sağ,PRON,NOUN
13,25,sağ,bunu,olsun,ADJ,NOUN
13,35,üçüncü,okulun,katından,ADJ,NOUN
14,0,Çünkü,BOS,tamamen,CCONJ,NOUN
14,1,tamamen,Çünkü,özgür,ADV,NOUN
14,2,özgür,tamamen,olduğumuz,ADJ,NOUN
14,8,gezdiğimiz,odalarını,an,VERB,NOUN
14,9,an,gezdiğimiz,.,NOUN,VERB
15,6,bilmeme,yapacağını,hissi,VERB,NOUN
15,7,hissi,bilmeme,Benjamin,NOUN,VERB
15,10,i,’,etkilediği,ADP,NOUN
15,15,derinden,de,etkilemişti,ADJ,NOUN
16,6,yken,içinde,de,AUX,VERB
16,25,insanlığı,da,ne,NOUN,VERB
16,26,ne,insanlığı,bilim,CCONJ,PRON
16,29,ne,kurtarabilir,psikoloji,CCONJ,PRON
16,30,psikoloji,ne,.,NOUN,VERB
17,0,Az,BOS,önce,ADV,NOUN
17,1,önce,Az,Wonder,ADP,NOUN
17,6,kadın,daki,topluluğunu,ADJ,VERB
17,9,bile,överken,“,ADV,VERB
17,12,erkeksi,bu,davranışları,ADJ,NOUN
17,15,diye,”,yazacaktım,ADP,NOUN
17,16,yazacaktım,diye,az,VERB,NOUN
17,17,az,yazacaktım,kalsın,ADV,NOUN
18,0,Onca,BOS,erkek,ADV,NOUN
18,1,erkek,Onca,süper,ADJ,NOUN
18,2,süper,erkek,kahraman,ADJ,NOUN
18,4,var,kahraman,.,ADJ,VERB
20,6,ikisi,için,de,NUM,NOUN
20,8,birbirini,de,öldüremez,PRON,NOUN
20,11,beraber,ve,intihar,ADV,NOUN
20,16,fakat,verirler,oyun,CCONJ,NOUN
20,19,bunun,yöneticileri,yerine,PRON,NOUN
20,21,ikisini,yerine,de,NUM,VERB
20,23,sağ,de,bırakarak,ADJ,NOUN
21,1,Ben,“,feminist,PRON,PROPN
21,2,feminist,Ben,değilim,ADJ,NOUN
21,3,değilim,feminist,erkeklerle,AUX,NOUN
