Cümle ID,Token ID,Token,Önceki Token,Sonraki Token,Gerçek Etiket,Tahmin Edilen Etiket
0,0,Nereden,BOS,diye,PRON,NOUN
0,6,Antik,yine,Roma,ADJ,PROPN
0,9,dan,’,olacaktır,ADP,NOUN
2,2,başa,en,dönelim,NOUN,ADJ
2,3,dönelim,başa,",",VERB,NOUN
2,6,yumurtası,anne,ve,NOUN,VERB
3,8,üzün,çok,süren,NOUN,VERB
3,21,kolaylaştırmasa,hayatını,bile,VERB,NOUN
3,24,günlük,onları,stresten,ADJ,NOUN
4,2,karşı,kendimizle,karşıyayız,ADV,ADP
6,2,ön,bu,kabul,ADJ,NOUN
6,7,açıklamada,görülenleri,yetersiz,VERB,NOUN
7,6,dışına,bilinenin,çıkma,ADJ,NOUN
7,16,yapabileceklerimizin,aklımızla,iyi,VERB,NOUN
9,10,ki,öyle,zamanımın,CCONJ,ADP
10,4,nerede,sonra,olacağımı,PRON,NOUN
10,5,olacağımı,nerede,tahmin,ADJ,VERB
10,8,gerek,etmeme,yok,NOUN,VERB
10,9,yok,gerek,.,ADJ,ADV
11,0,Bir,BOS,de,ADV,DET
12,15,sıkılmadan,köşklerini,dolaşıp,VERB,NOUN
13,29,un,’,arkadaşı,NOUN,PROPN
15,0,Mezun,BOS,olduktan,NOUN,ADJ
15,10,i,’,etkilediği,ADP,NOUN
15,15,derinden,de,etkilemişti,ADJ,NOUN
16,5,içinde,adaletsizliğin,yken,NOUN,ADJ
16,26,ne,insanlığı,bilim,CCONJ,PRON
16,29,ne,kurtarabilir,psikoloji,CCONJ,PRON
16,30,psikoloji,ne,.,NOUN,VERB
17,0,Az,BOS,önce,ADV,NOUN
17,12,erkeksi,bu,davranışları,ADJ,NOUN
18,0,Onca,BOS,erkek,ADV,DET
20,11,beraber,ve,intihar,ADV,ADJ
20,21,ikisini,yerine,de,NUM,VERB
21,2,feminist,Ben,değilim,ADJ,NOUN
21,5,kadınların,erkeklerle,eşit,ADJ,NOUN
22,0,Ulaştığımız,BOS,yer,VERB,NOUN
22,2,değil,yer,de,CCONJ,AUX
23,0,Oysa,BOS,kız,CCONJ,NOUN
23,7,yok,kötülüğü,.,ADJ,ADV
24,2,yalnızlığı,size,neden,NOUN,VERB
24,6,ziyade,cezadan,bir,ADP,NOUN
24,10,gördüğümü,olarak,anlatacağım,VERB,NOUN
25,5,kadınlar,ki,hala,ADJ,NOUN
26,10,varken,dostum,izlemiştim,ADV,VERB
28,7,efendilerimiz,bizim,de,NOUN,VERB
28,9,aynısını,de,düşünüyor,ADJ,NOUN
28,15,kaderinde,işin,ölüm,NOUN,ADJ
28,17,var,ölüm,!,VERB,ADJ
29,0,İlk,BOS,olarak,ADV,ADJ
29,7,erkekleri,dolanmış,üstün,ADJ,NOUN
31,2,yalnızlığı,de,özgürlük,NOUN,VERB
32,8,gezmeye,köşkü,yeterince,VERB,NOUN
32,9,yeterince,gezmeye,vakit,ADV,VERB
33,6,eğmeden,boyun,",",VERB,NOUN
33,20,yaşadıkları,",",şartların,VERB,ADJ
34,13,ki,tabii,.,CCONJ,ADP
35,0,Kapattığımız,BOS,odaları,VERB,NOUN
38,1,asıl,Belki,o,ADV,ADJ
40,2,yalnız,nevi,ken,ADJ,ADV
40,3,ken,yalnız,kazandığım,AUX,PRON
40,7,ortadan,özgürlüğüm,kayboluyor,ADJ,NOUN
41,12,özgürleştirdiğini,insanı,fark,VERB,NOUN
42,2,önemlisi,da,",",ADJ,NOUN
44,1,aksine,Çoğunluğun,olan,ADJ,ADV
44,10,Yunan,",",",",ADJ,PROPN
44,23,aslen,medeniyetlerin,kaynağını,ADJ,ADV
44,24,kaynağını,aslen,bunlardan,NOUN,VERB
45,4,mükemmel,bu,teknolojileri,ADJ,NOUN
45,7,aklımda,bile,soru,ADJ,NOUN
48,2,bu,ki,hiç,PRON,DET
49,4,birer,",",düşünce,DET,PRON
49,5,düşünce,birer,yi,NOUN,VERB
49,6,yi,düşünce,temsil,ADP,NOUN
50,6,ezilmesine,kendilerinin,göz,VERB,NOUN
50,11,değişmesi,durumun,imkânsız,VERB,NOUN
51,5,ayırıp,diye,duruyoruz,VERB,NOUN
52,8,ucu,korkut,geliyordu,ADP,NOUN
53,2,in,’,koşarken,ADP,NOUN
53,13,yalnız,de,ken,ADJ,ADV
53,14,ken,yalnız,kendim,AUX,PRON
54,7,tam,aslında,olarak,ADV,ADJ
54,9,neye,olarak,benzeyeceğimiz,PRON,NOUN
55,3,keşfetme,daha,şansımız,VERB,ADJ
56,0,Tıpkı,BOS,Smith,ADV,PROPN
58,9,u,”,izlediğim,ADP,NOUN
59,1,değiliz,Alışık,küçüklükten,AUX,NOUN
59,6,Örümcek,",",Adam,NOUN,PROPN
60,3,acaba,bakıp,onlar,ADV,NOUN
61,0,Oysa,BOS,neticede,CCONJ,PROPN
61,1,neticede,Oysa,hepimiz,ADV,NOUN
61,3,insanız,hepimiz,ve,AUX,NOUN
61,8,yok,farkımız,ve,ADV,ADJ
61,15,yok,de,.,ADJ,ADV
62,8,kötüye,bunu,kullanırsa,ADJ,NOUN
63,0,Milyonlarca,BOS,insanın,NUM,NOUN
63,3,birbirinden,hepsi,farklı,PRON,ADV
63,8,düşüncelere,farklı,",",NOUN,VERB
64,16,başladığını,duymaya,fark,VERB,NOUN
64,32,böyle,için,bir,ADJ,ADV
